srk_pncp_item_compra,cod_compra,cod_item_compra,codigo_classe,codigo_grupo,numero_item_pncp,numero_grupo,numero_item_compra,descricao_detalhada,descricao_resumida,material_ou_servico,material_ou_servico_nome,valor_unitario_estimado,valor_total,quantidade,unidade_medida,orcamento_sigiloso,item_categoria_id_pncp,item_categoria_nome,patrimonio,codigo_registro_imobiliario,criterio_julgamento_id_pncp,criterio_julgamento_nome,situacao_compra_item,situacao_compra_item_nome,tipo_beneficio,tipo_beneficio_nome,incentivo_produtivo_basico,data_inclusao_pncp,data_atualizacao_pncp,tem_resultado,cod_item_catalogo,ID_contratacao_PNCP,cod_fornecedor,nome_fornecedor,data_resultado,valor_total_resultado,valor_unitario_resultado,quantidade_resultado,id_compra,id_compra_item,ano_compra,sequencial_compra,orgao_entidade_cnpj,unidade_orgao_codigo_unidade,margem_preferencia_normal,percentual_margem_preferencia_normal,margem_preferencia_adicional,percentual_margem_preferencia_adicional,codigo_NCM,descricao_NCM,numero_controle_PNCP_compra,TXT_LINK_MATERIAL,TXT_LINK_CLASSE,TXT_LINK_SERVICO,TXT_LINK_GRUPO
42069287,9761106,44581974,8915.0,,51,0,51,"LEGUME IN NATURA, TIPO: PIMENTÃO VERDE ",Legume in natura,M,Material,14.95,74.75,5.0,Quilograma,False,3,Informática (TIC),,,1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2025-11-28 07:00:11,2026-01-25 17:34:30,True,463809.0,27701257000127-1-000002/2025,57957163000184,57.957.163 FERNANDA SILVA DE CARVALHO,2026-01-25,72.15,14.43,5.0,92931605900012025,9293160590001202500051,2025,2,27701257000127,929316,False,,False,,,,27701257000127-1-000002/2025,https://dadosabertos.compras.gov.br/modulo-material/4_consultarItemMaterial?codigoItem=463809,https://dadosabertos.compras.gov.br/modulo-material/2_consultarClasseMaterial?pagina=1&codigoClasse=8915,,
42074448,9761106,44581935,8920.0,,12,0,12,"ARROZ BENEFICIADO, TIPO: AGULHINHA/BRANCO , SUBGRUPO: POLIDO , CLASSE: LONGO FINO , QUALIDADE: TIPO 1 ",Arroz beneficiado,M,Material,9.06,7773.48,858.0,Quilograma,False,3,Informática (TIC),,,1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2025-11-28 07:00:11,2026-01-25 17:20:57,True,458904.0,27701257000127-1-000002/2025,57957163000184,57.957.163 FERNANDA SILVA DE CARVALHO,2026-01-25,7250.1,8.45,858.0,92931605900012025,9293160590001202500012,2025,2,27701257000127,929316,False,,False,,,,27701257000127-1-000002/2025,https://dadosabertos.compras.gov.br/modulo-material/4_consultarItemMaterial?codigoItem=458904,https://dadosabertos.compras.gov.br/modulo-material/2_consultarClasseMaterial?pagina=1&codigoClasse=8920,,
42067600,9761106,44581949,8950.0,,26,0,26,"CONDIMENTO, TIPO: URUCUM , APRESENTAÇÃO: PÓ ",Condimento,M,Material,58.95,471.6,8.0,Quilograma,False,3,Informática (TIC),,,1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2025-11-28 07:00:11,2026-01-25 17:26:26,True,463937.0,27701257000127-1-000002/2025,57957163000184,57.957.163 FERNANDA SILVA DE CARVALHO,2026-01-25,454.0,56.75,8.0,92931605900012025,9293160590001202500026,2025,2,27701257000127,929316,False,,False,,,,27701257000127-1-000002/2025,https://dadosabertos.compras.gov.br/modulo-material/4_consultarItemMaterial?codigoItem=463937,https://dadosabertos.compras.gov.br/modulo-material/2_consultarClasseMaterial?pagina=1&codigoClasse=8950,,
42067601,9761106,44581954,8915.0,,31,0,31,"LEGUMINOSA, VARIEDADE: FEIJÃO CARIOCA , TIPO: TIPO 1 ",Leguminosa,M,Material,14.95,4694.3,314.0,Quilograma,False,3,Informática (TIC),,,1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2025-11-28 07:00:11,2026-01-25 17:27:57,True,464553.0,27701257000127-1-000002/2025,57957163000184,57.957.163 FERNANDA SILVA DE CARVALHO,2026-01-25,4531.02,14.43,314.0,92931605900012025,9293160590001202500031,2025,2,27701257000127,929316,False,,False,,,,27701257000127-1-000002/2025,https://dadosabertos.compras.gov.br/modulo-material/4_consultarItemMaterial?codigoItem=464553,https://dadosabertos.compras.gov.br/modulo-material/2_consultarClasseMaterial?pagina=1&codigoClasse=8915,,
42067599,9761106,44581941,8905.0,,18,0,18,"CARNE BOVINA IN NATURA, TIPO CORTE: ACÉM , APRESENTAÇÃO: MOIDA , ESTADO DE CONSERVAÇÃO: CONGELADO(A) ",Carne bovina in natura,M,Material,36.95,5394.7,146.0,Quilograma,False,3,Informática (TIC),,,1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2025-11-28 07:00:11,2026-01-25 17:23:41,True,451059.0,27701257000127-1-000002/2025,57957163000184,57.957.163 FERNANDA SILVA DE CARVALHO,2026-01-25,5318.78,36.43,146.0,92931605900012025,9293160590001202500018,2025,2,27701257000127,929316,False,,False,,,,27701257000127-1-000002/2025,https://dadosabertos.compras.gov.br/modulo-material/4_consultarItemMaterial?codigoItem=451059,https://dadosabertos.compras.gov.br/modulo-material/2_consultarClasseMaterial?pagina=1&codigoClasse=8905,,
42067603,9761106,44581970,8915.0,,47,0,47,"LEGUME EM CONSERVA, TIPO: MILHO VERDE ",Legume em conserva,M,Material,58.95,707.4,12.0,Quilograma,False,3,Informática (TIC),,,1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2025-11-28 07:00:11,2026-01-25 17:32:37,True,462824.0,27701257000127-1-000002/2025,57957163000184,57.957.163 FERNANDA SILVA DE CARVALHO,2026-01-25,701.16,58.43,12.0,92931605900012025,9293160590001202500047,2025,2,27701257000127,929316,False,,False,,,,27701257000127-1-000002/2025,https://dadosabertos.compras.gov.br/modulo-material/4_consultarItemMaterial?codigoItem=462824,https://dadosabertos.compras.gov.br/modulo-material/2_consultarClasseMaterial?pagina=1&codigoClasse=8915,,
42069281,9761106,44581957,8905.0,,34,0,34,"CARNE DE AVE IN NATURA, TIPO ANIMAL: FRANGO , TIPO CORTE: FILEZINHO (SASSAMI) , APRESENTAÇÃO: INTEIRO , ESTADO DE CONSERVAÇÃO: CONGELADO(A) , PROCESSAMENTO: SEM PELE, SEM OSSO ",Carne de ave in natura,M,Material,29.95,8715.45,291.0,Quilograma,False,3,Informática (TIC),,,1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2025-11-28 07:00:11,2026-01-25 17:28:51,True,447618.0,27701257000127-1-000002/2025,57957163000184,57.957.163 FERNANDA SILVA DE CARVALHO,2026-01-25,8075.25,27.75,291.0,92931605900012025,9293160590001202500034,2025,2,27701257000127,929316,False,,False,,,,27701257000127-1-000002/2025,https://dadosabertos.compras.gov.br/modulo-material/4_consultarItemMaterial?codigoItem=447618,https://dadosabertos.compras.gov.br/modulo-material/2_consultarClasseMaterial?pagina=1&codigoClasse=8905,,
42069283,9761106,44581943,8905.0,,20,0,20,"CARNE SALGADA, TIPO CORTE: COXÃO MOLE - CARNE DE SOL , ORIGEM: BOVINA , APRESENTAÇÃO: PEDAÇO , ESTADO DE CONSERVAÇÃO: SECO(A) ",Carne salgada,M,Material,58.95,3360.15,57.0,Quilograma,False,3,Informática (TIC),,,1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2025-11-28 07:00:11,2026-01-25 17:24:19,True,447736.0,27701257000127-1-000002/2025,57957163000184,57.957.163 FERNANDA SILVA DE CARVALHO,2026-01-25,3330.51,58.43,57.0,92931605900012025,9293160590001202500020,2025,2,27701257000127,929316,False,,False,,,,27701257000127-1-000002/2025,https://dadosabertos.compras.gov.br/modulo-material/4_consultarItemMaterial?codigoItem=447736,https://dadosabertos.compras.gov.br/modulo-material/2_consultarClasseMaterial?pagina=1&codigoClasse=8905,,
42069290,9761106,44581944,8915.0,,21,0,21,"CACAU, APRESENTAÇÃO: PÓ , PRAZO VALIDADE MÍNIMO: 12 MESES ",Cacau,M,Material,34.95,139.8,4.0,"Pacote 500,00 G",False,3,Informática (TIC),,,1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2025-11-28 07:00:11,2026-01-25 17:24:42,True,463532.0,27701257000127-1-000002/2025,57957163000184,57.957.163 FERNANDA SILVA DE CARVALHO,2026-01-25,122.0,30.5,4.0,92931605900012025,9293160590001202500021,2025,2,27701257000127,929316,False,,False,,,,27701257000127-1-000002/2025,https://dadosabertos.compras.gov.br/modulo-material/4_consultarItemMaterial?codigoItem=463532,https://dadosabertos.compras.gov.br/modulo-material/2_consultarClasseMaterial?pagina=1&codigoClasse=8915,,
42071037,9761106,44581930,8950.0,,7,0,7,"CONDIMENTO, TIPO: AÇAFRÃO , APRESENTAÇÃO: PÓ ",Condimento,M,Material,68.95,275.8,4.0,Quilograma,False,3,Informática (TIC),,,1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2025-11-28 07:00:11,2026-01-25 17:17:33,True,463857.0,27701257000127-1-000002/2025,57957163000184,57.957.163 FERNANDA SILVA DE CARVALHO,2026-01-25,273.72,68.43,4.0,92931605900012025,9293160590001202500007,2025,2,27701257000127,929316,False,,False,,,,27701257000127-1-000002/2025,https://dadosabertos.compras.gov.br/modulo-material/4_consultarItemMaterial?codigoItem=463857,https://dadosabertos.compras.gov.br/modulo-material/2_consultarClasseMaterial?pagina=1&codigoClasse=8950,,
